"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ARRB1",964.52043510156,0.337888676991485,0.15813117944003,2.1367618845822,0.0326173637238092,0.328763199036527
"KIAA0513",318.867307892341,0.33811838795306,0.111125036937258,3.04268414456379,0.00234478305603041,0.107323398073418
"KLF16",186.23944293652,0.338482852458518,0.144532492506291,2.34191527862695,0.0191850693542611,0.268006221388359
"AOAH",594.514284575953,0.338646836352605,0.16905763720522,2.003144264589,0.0451618060032007,0.366268215206575
"DYNLL1",1830.28057447587,0.338671908874955,0.136887798242933,2.47408398134885,0.0133578292439319,0.232696971569697
"MEAF6",624.716748550008,0.338673024578656,0.0753040990366008,4.49740490772019,6.87879100445731e-06,0.00670439342075607
"SERPINB9",297.180664211179,0.339906651926256,0.135969120983697,2.4998812191116,0.0124234953240759,0.223744450026754
"JAZF1",482.199256349252,0.340349952470067,0.173410195244532,1.96268709570465,0.0496825434667155,0.381813572680895
"ZNF669",60.5607474220605,0.340521677761422,0.152880834274677,2.22736668972917,0.0259227767602916,0.305881808594373
"DOCK2",711.518007615682,0.340593101533494,0.147269955709945,2.31271273147055,0.0207384385705139,0.276885728182791
"LIPC",8437.47481052142,0.341284883844854,0.159343801080896,2.14181462679925,0.0322084019375138,0.328120200288682
"NCK2",289.431965019128,0.342881116036989,0.135123404488825,2.53754053440346,0.011163443954157,0.212770705706189
"RHOQ",594.924700849919,0.343312774058949,0.115193882213069,2.98030387954058,0.00287962564838695,0.117518515685033
"C10orf11",329.660860599058,0.3435543038385,0.117793921244655,2.91657073818731,0.00353902462846484,0.129123325666362
"PHF23",527.824376071502,0.343600939556017,0.164681117641953,2.0864622761613,0.0369367689117307,0.340441720106999
"FAM129B",815.394442093513,0.34381852834822,0.168578808383958,2.03951215247134,0.0413989396161433,0.353576819845298
"PROM1",145.595879401147,0.344006424516686,0.151527852789052,2.27025209019223,0.0231922921196934,0.294236667788056
"LRSAM1",608.001596127573,0.344172919728321,0.15720372448783,2.18934329227654,0.0285718979813515,0.313515084538419
"PPT1",2049.98226707234,0.344653239036604,0.125163533771437,2.75362342889729,0.00589395409785113,0.163986634567212
"TMSB10",3668.24672151249,0.344684553507345,0.162855932777671,2.11649982673891,0.0343023199254982,0.332752652197132
"CAPN2",1894.22511216712,0.344898113709868,0.153671699642595,2.24438276216129,0.0248077846454464,0.301727037673114
"CHST3",196.157314522195,0.345045622166163,0.147912823782521,2.33276340308052,0.0196605664341939,0.270737537076233
"CLDN7",328.038192369698,0.345151504718109,0.13922962711303,2.4790090433691,0.0131747965727487,0.231242801285882
"MCM3",818.503427032362,0.345374814724207,0.172748649050637,1.99929097345919,0.0455768802565792,0.367414154558365
"MMP14",754.832168729801,0.34573630278561,0.159853250474738,2.16283561178036,0.0305538255125097,0.32065902120651
"PGP",218.682684235872,0.345856109708407,0.168879705586086,2.04794358509885,0.0405655275168492,0.349726692027076
"RACGAP1",143.358634507341,0.346187032459314,0.137593273278315,2.51601712940623,0.0118689414150003,0.219238004799487
"HENMT1",67.205613942685,0.346417429525187,0.171807121007376,2.01631589828175,0.0437669535100071,0.362225101252401
"GSTCD",139.728410698074,0.347555092705245,0.124773020841513,2.78549874292705,0.00534454472202208,0.157289096801392
"RNASEH2A",128.45234027944,0.347911641020766,0.166380903250558,2.09105512846528,0.036523122441691,0.340138035495032
"AK055981",483.885577817208,0.349641455973866,0.139002569224562,2.51535966510815,0.0118911006679659,0.219402724908158
"HAVCR2",394.162486658125,0.350407082060486,0.169800355778412,2.06364162462513,0.0390517079216619,0.346278564894568
"ARHGEF25",169.80542677041,0.351878496518745,0.178781207052016,1.96820741016905,0.0490441780094349,0.380247467569822
"CDC42EP3",322.690989864601,0.351940088194494,0.12184373163182,2.88845460887529,0.00387139899871526,0.134758844558221
"KLHL6",225.552513651157,0.353257126243723,0.138606865320901,2.54862647261999,0.0108148065074817,0.210070960167016
"LIMK1",154.295630602333,0.353408550806145,0.162155890593019,2.17943701899263,0.0292992185978086,0.315187518214684
"FKBP10",280.112867038785,0.35358230507381,0.179385337214704,1.97107695959905,0.0487150736934218,0.379126376715033
"DHRS7",3044.03559016345,0.353627153977134,0.162847615366624,2.1715218437863,0.0298917477780144,0.31809657606546
"CTSK",280.250238915291,0.354524666493013,0.17176620181681,2.06399549354369,0.0390181436653672,0.346278564894568
"SLC41A1",366.217178172418,0.354886358001326,0.151172165722399,2.34756415842458,0.0188966184221128,0.266693416214639
"RHNO1",133.46636761048,0.355654927070097,0.103258268280895,3.44432395575919,0.000572489312825566,0.0616890035455598
"BIRC3",820.019496650766,0.356949364175749,0.179759969131912,1.98569996367663,0.0470666490541034,0.372395008523234
"RASSF4",1783.14812340997,0.356988301230466,0.160948264755148,2.21803137656411,0.0265526931288913,0.307239576336245
"PDHB",2675.84101136508,0.357139772971016,0.0800580399907175,4.46101069939291,8.15740170270876e-06,0.00677894850568056
"IKZF1",432.916666357386,0.357463548362901,0.166607696749478,2.14554042422426,0.0319096629496263,0.326566525887806
"MARVELD1",268.788025639251,0.35798236083096,0.170680167918518,2.09738697352266,0.0359593332832804,0.33804914934523
"GLIPR2",142.144690595404,0.359047980804396,0.163915685687833,2.19044308845573,0.0284921179774,0.313515084538419
"CD53",1060.79891943141,0.359237507866739,0.138932851579293,2.58569160413231,0.00971838410387942,0.200807222849721
"LY75",60.5592867196104,0.35925843725493,0.175519721748352,2.04682661114293,0.0406751118508092,0.350283746494832
"ING2",205.812704632128,0.360224731710075,0.109864233914747,3.27881712614138,0.00104243164747681,0.0763282317253908
"CCDC109B",48.1962544009579,0.360388007289515,0.171184157628371,2.10526495139751,0.0352682511939635,0.337417898494244
"CSGALNACT1",152.776606670248,0.361095401094989,0.161696334842755,2.23316998153448,0.0255377370826686,0.304194655444095
"SEL1L3",972.046856171777,0.361475269410651,0.173706377903051,2.08095565502148,0.0374379652082411,0.341221682711518
"CD1C",175.248924483177,0.362385171501319,0.181789053917199,1.99343779888078,0.0462135283019839,0.369743466529606
"DMKN",45.3875852494433,0.364868984327828,0.178877975109228,2.03976472846939,0.0413737644419562,0.353576819845298
"LOC550643",179.279110729585,0.36672967484577,0.142824351504411,2.56769711175228,0.0102376566246758,0.204124828657344
"CSTB",1456.2320788656,0.369431968945302,0.122245496300098,3.02204972883738,0.00251069298388222,0.110052042460171
"SLC7A7",604.528729979359,0.369466534309938,0.158024415509628,2.33803449371042,0.019385458846138,0.269235262046656
"PKLR",6283.26390560098,0.370563177741555,0.151051412940444,2.45322549804721,0.014158155308416,0.239232822546482
"USP18",385.129964726942,0.371095636391338,0.0901667442796626,4.1156597075341,3.86073557583612e-05,0.0189913474059253
"PLAC8",356.578591043086,0.371280946894737,0.149054793652402,2.4909024245176,0.0127419107665558,0.226745323199587
"SLC2A6",73.572679023811,0.371681166652173,0.169077820064706,2.19828459173375,0.0279288317305026,0.311916581738133
"PRKX",286.324908751764,0.371986538680445,0.09853864662634,3.77503194346704,0.000159987160756434,0.039564586068259
"MIR497HG",47.7389880202597,0.372415990821965,0.186558100274304,1.99624669352008,0.0459070772167157,0.369239981749399
"CCDC122",51.1167412659883,0.3726141542502,0.151559673051409,2.45853099804331,0.01395067325211,0.237560726636299
"ACSL3",1872.84303235102,0.372703166998606,0.157389397634352,2.36803223470283,0.0178829777462827,0.263380496247252
"TOMM40L",319.771088038692,0.373000702133142,0.135006214787358,2.76284097528872,0.00573006765562805,0.162571046209077
"FILIP1L",292.885599597468,0.373663062055048,0.158630696295041,2.35555331207816,0.0184951429026368,0.264784964423799
"CDCP1",62.9405245850293,0.373936712910712,0.182514662222756,2.04880368709408,0.0404813150939573,0.34940807298992
"TMEM165",401.568033233913,0.374982410946543,0.106864327492885,3.50895775740982,0.000449866349685507,0.0562297041394939
"FRMD6",210.508936090667,0.376910035152565,0.173188041079288,2.17630520446854,0.0295324466461496,0.315536104867604
"TIMP1",2094.02564173757,0.377743860331394,0.18849243144375,2.00402667331564,0.0450672032350746,0.365859132974988
"PLP2",199.132030698162,0.378114321732788,0.184057342198307,2.05432892389264,0.0399438671208239,0.348195306313346
"CACNA1D",266.183292792618,0.378156431379443,0.147719889190821,2.55995609968911,0.0104685386450913,0.207539420229708
"HNRNPAB",1552.50224037866,0.378600308434679,0.104284910362137,3.63044190305158,0.000282936387739271,0.048602350313122
"GOT2",14472.3803482006,0.379019446486169,0.10531760842318,3.59882314231082,0.000319660478207544,0.0511967960555846
"TUBA1B",2047.82386150587,0.379170992567992,0.1226429058003,3.09166673843652,0.00199036165585815,0.100688815071222
"GYG1",393.844465182955,0.381002033086884,0.102604911213684,3.71329236174097,0.000204580320800224,0.0450553924541506
"PHF19",187.170247468246,0.381262505460417,0.151883027255549,2.51023772932131,0.012064990776542,0.221623982457344
"CCND2",115.628320565623,0.38216743217822,0.190370527843309,2.00749263296037,0.0446972342809082,0.364883428786797
"TFB1M",384.060548205769,0.383083792050075,0.106487566334264,3.59745090659296,0.000321351124979226,0.0511967960555846
"YWHAH",994.768468598288,0.383985380952522,0.119213074866308,3.22100056040954,0.00127743898295434,0.0828795410014571
"FLVCR2",866.053601940992,0.38426677359232,0.153555647800941,2.50245939563525,0.0123333771995931,0.223559524233048
